start time,stop time,TS,photon flux,photon flux err,Photon index,Photon index error,Energy flux (erg/cm2/s),Energy flux error
0.0,10.0,36,7.05e-05,3.72e-05,-1.74,0.382,1.61e-07,1.89e-07
10.0,21.5443469003,9,1.11e-07,0,-2.0,0,0.000113,0
21.5443469003,46.4158883361,18,3.98e-05,1.99e-05,-2.53,0.641,1.79e-08,1.37e-08
46.4158883361,100.0,12,3.98e-08,0,-2.0,0,4.05e-05,0
100.0,215.443469003,21,8.51e-06,4.31e-06,-1.93,0.399,1.14e-08,1.19e-08
215.443469003,464.158883361,43,7.94e-06,3.2e-06,-1.88,0.301,1.22e-08,9.89e-09
464.158883361,1000.0,8,5.19e-09,0,-2.0,0,5.28e-06,0
1000.0,1285.50386751,4,5.52e-09,0,-2.0,0,5.61e-06,0
1298.3310169,1328.01500005,0,2.03e-08,0,-2.0,0,2.07e-05,0
4328.01500005,4641.58883361,0,3.88e-09,0,-2.0,0,3.94e-06,0
